ds,y
2026-05-14,1124.0
2026-05-15,1132.5999755859375
2026-05-18,1146.5999755859375
2026-05-19,1179.4000244140625
2026-05-20,1169.800048828125
2026-05-21,1168.199951171875
2026-05-22,1164.0
2026-05-25,1165.699951171875
2026-05-26,1161.9000244140625
2026-05-27,1165.199951171875
2026-05-28,1165.199951171875
2026-05-29,1183.800048828125
2026-06-01,1195.0999755859375
2026-06-02,1243.5
2026-06-03,1179.0
2026-06-04,1168.300048828125
2026-06-05,1154.699951171875
2026-06-08,1151.300048828125
2026-06-09,1146.300048828125
2026-06-10,1132.0999755859375
2026-06-11,1110.199951171875
2026-06-12,1109.5999755859375
