ds,y
2026-07-01,796.1500244140625
2026-07-02,795.9000244140625
2026-07-03,801.0499877929688
2026-07-06,829.8499755859375
2026-07-07,829.2999877929688
2026-07-08,810.2999877929688
2026-07-09,817.5499877929688
2026-07-10,824.9500122070312
2026-07-13,817.9500122070312
2026-07-14,809.4000244140625
2026-07-15,815.4500122070312
2026-07-16,808.2999877929688
2026-07-17,819.5999755859375
2026-07-20,777.5999755859375
2026-07-21,761.4500122070312
2026-07-22,753.1500244140625
2026-07-23,747.25
2026-07-24,742.7999877929688
2026-07-27,739.5499877929688
2026-07-28,735.4000244140625
2026-07-29,748.2000122070312
2026-07-30,
