ds,y
2026-04-30,1181.800048828125
2026-05-01,1181.800048828125
2026-05-04,1168.4000244140625
2026-05-05,1178.0999755859375
2026-05-06,1167.199951171875
2026-05-07,1162.699951171875
2026-05-08,1179.199951171875
2026-05-11,1177.0
2026-05-12,1140.300048828125
2026-05-13,1123.0999755859375
2026-05-14,1095.0
2026-05-15,1119.0
2026-05-18,1142.5
2026-05-19,1196.9000244140625
2026-05-20,1193.699951171875
2026-05-21,1181.199951171875
2026-05-22,1174.5
2026-05-25,1168.5
2026-05-26,1167.699951171875
2026-05-27,1159.9000244140625
2026-05-28,1159.9000244140625
2026-05-29,1160.9000244140625
